name,search_query,quartz_url,CPID,potential products,potential manufacturers,potential manufacturers google
Fiberglass Batt Insulation,glass wool,http://quartzproject.org/p/CP037,CP037,https://www.specifiedby.com/search?q=glass wool,https://www.specifiedby.com/search?q=glass wool&type=companies&a=0,https://www.google.co.uk/search?q=glass wool companies&type=companies&a=0
Fiberglass Batt Insulation,fibrous glass,http://quartzproject.org/p/CP037,CP037,https://www.specifiedby.com/search?q=fibrous glass,https://www.specifiedby.com/search?q=fibrous glass&type=companies&a=0,https://www.google.co.uk/search?q=fibrous glass companies&type=companies&a=0
Chromate Pretreatment for Steel,Chromate Pretreatment for Steel,http://quartzproject.org/p/CP038,CP038,https://www.specifiedby.com/search?q=Chromate Pretreatment for Steel,https://www.specifiedby.com/search?q=Chromate Pretreatment for Steel&type=companies&a=0,https://www.google.co.uk/search?q=Chromate Pretreatment for Steel companies&type=companies&a=0
Polyester Powder Coating,Polyester Powder Coating,http://quartzproject.org/p/CP039,CP039,https://www.specifiedby.com/search?q=Polyester Powder Coating,https://www.specifiedby.com/search?q=Polyester Powder Coating&type=companies&a=0,https://www.google.co.uk/search?q=Polyester Powder Coating companies&type=companies&a=0
Polyester Powder Coating,Carboxyl polyester powder coatings,http://quartzproject.org/p/CP039,CP039,https://www.specifiedby.com/search?q=Carboxyl polyester powder coatings,https://www.specifiedby.com/search?q=Carboxyl polyester powder coatings&type=companies&a=0,https://www.google.co.uk/search?q=Carboxyl polyester powder coatings companies&type=companies&a=0
Concrete Masonry Unit,Concrete Masonry Unit,http://quartzproject.org/p/CP042,CP042,https://www.specifiedby.com/search?q=Concrete Masonry Unit,https://www.specifiedby.com/search?q=Concrete Masonry Unit&type=companies&a=0,https://www.google.co.uk/search?q=Concrete Masonry Unit companies&type=companies&a=0
Concrete Masonry Unit,Cinder blocks,http://quartzproject.org/p/CP042,CP042,https://www.specifiedby.com/search?q=Cinder blocks,https://www.specifiedby.com/search?q=Cinder blocks&type=companies&a=0,https://www.google.co.uk/search?q=Cinder blocks companies&type=companies&a=0
Concrete Masonry Unit,Hollow cement masonry unit,http://quartzproject.org/p/CP042,CP042,https://www.specifiedby.com/search?q=Hollow cement masonry unit,https://www.specifiedby.com/search?q=Hollow cement masonry unit&type=companies&a=0,https://www.google.co.uk/search?q=Hollow cement masonry unit companies&type=companies&a=0
Aluminum Primer,Aluminum Primer,http://quartzproject.org/p/CP043,CP043,https://www.specifiedby.com/search?q=Aluminum Primer,https://www.specifiedby.com/search?q=Aluminum Primer&type=companies&a=0,https://www.google.co.uk/search?q=Aluminum Primer companies&type=companies&a=0
Aluminum Primer,Universal Primer for Aluminum Substrates,http://quartzproject.org/p/CP043,CP043,https://www.specifiedby.com/search?q=Universal Primer for Aluminum Substrates,https://www.specifiedby.com/search?q=Universal Primer for Aluminum Substrates&type=companies&a=0,https://www.google.co.uk/search?q=Universal Primer for Aluminum Substrates companies&type=companies&a=0
Anodized Aluminum Curtainwall Extrusion,Anodized Aluminum Curtainwall Extrusion,http://quartzproject.org/p/CP044,CP044,https://www.specifiedby.com/search?q=Anodized Aluminum Curtainwall Extrusion,https://www.specifiedby.com/search?q=Anodized Aluminum Curtainwall Extrusion&type=companies&a=0,https://www.google.co.uk/search?q=Anodized Aluminum Curtainwall Extrusion companies&type=companies&a=0
Anodized Aluminum Curtainwall Extrusion,Aluminum extrusion,http://quartzproject.org/p/CP044,CP044,https://www.specifiedby.com/search?q=Aluminum extrusion,https://www.specifiedby.com/search?q=Aluminum extrusion&type=companies&a=0,https://www.google.co.uk/search?q=Aluminum extrusion companies&type=companies&a=0
Anodized Aluminum Curtainwall Extrusion,Curtainwall,http://quartzproject.org/p/CP044,CP044,https://www.specifiedby.com/search?q=Curtainwall,https://www.specifiedby.com/search?q=Curtainwall&type=companies&a=0,https://www.google.co.uk/search?q=Curtainwall companies&type=companies&a=0
Anodized Aluminum Curtainwall Extrusion,Curtainwall Aluminum,http://quartzproject.org/p/CP044,CP044,https://www.specifiedby.com/search?q=Curtainwall Aluminum,https://www.specifiedby.com/search?q=Curtainwall Aluminum&type=companies&a=0,https://www.google.co.uk/search?q=Curtainwall Aluminum companies&type=companies&a=0
Elastic Facade Joint Sealant,Elastic Facade Joint Sealant,http://quartzproject.org/p/CP048,CP048,https://www.specifiedby.com/search?q=Elastic Facade Joint Sealant,https://www.specifiedby.com/search?q=Elastic Facade Joint Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Elastic Facade Joint Sealant companies&type=companies&a=0
Elastic Facade Joint Sealant,Low-Modulus Elastomeric Sealant,http://quartzproject.org/p/CP048,CP048,https://www.specifiedby.com/search?q=Low-Modulus Elastomeric Sealant,https://www.specifiedby.com/search?q=Low-Modulus Elastomeric Sealant&type=companies&a=0,https://www.google.co.uk/search?q=Low-Modulus Elastomeric Sealant companies&type=companies&a=0
IGU Silicone Sealant,IGU Silicone Sealant,http://quartzproject.org/p/CP051,CP051,https://www.specifiedby.com/search?q=IGU Silicone Sealant,https://www.specifiedby.com/search?q=IGU Silicone Sealant&type=companies&a=0,https://www.google.co.uk/search?q=IGU Silicone Sealant companies&type=companies&a=0
Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket,Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket,http://quartzproject.org/p/CP053,CP053,https://www.specifiedby.com/search?q=Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket,https://www.specifiedby.com/search?q=Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket&type=companies&a=0,https://www.google.co.uk/search?q=Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket companies&type=companies&a=0
Curtain wall seals - Rubber (ethylene propylene diene monomer) gasket,EPDM Curtainwall Gaskets,http://quartzproject.org/p/CP053,CP053,https://www.specifiedby.com/search?q=EPDM Curtainwall Gaskets,https://www.specifiedby.com/search?q=EPDM Curtainwall Gaskets&type=companies&a=0,https://www.google.co.uk/search?q=EPDM Curtainwall Gaskets companies&type=companies&a=0
Double Pane IGU,Double Pane IGU,http://quartzproject.org/p/CP056,CP056,https://www.specifiedby.com/search?q=Double Pane IGU,https://www.specifiedby.com/search?q=Double Pane IGU&type=companies&a=0,https://www.google.co.uk/search?q=Double Pane IGU companies&type=companies&a=0
Double Pane IGU,Double Pane Insulated Glass Unit,http://quartzproject.org/p/CP056,CP056,https://www.specifiedby.com/search?q=Double Pane Insulated Glass Unit,https://www.specifiedby.com/search?q=Double Pane Insulated Glass Unit&type=companies&a=0,https://www.google.co.uk/search?q=Double Pane Insulated Glass Unit companies&type=companies&a=0
Fluid-applied rubber asphalt roofing,Fluid-applied rubber asphalt roofing,http://quartzproject.org/p/CP065,CP065,https://www.specifiedby.com/search?q=Fluid-applied rubber asphalt roofing,https://www.specifiedby.com/search?q=Fluid-applied rubber asphalt roofing&type=companies&a=0,https://www.google.co.uk/search?q=Fluid-applied rubber asphalt roofing companies&type=companies&a=0
Fluid-applied rubber asphalt roofing,Polymer Modified Asphalt Roofing,http://quartzproject.org/p/CP065,CP065,https://www.specifiedby.com/search?q=Polymer Modified Asphalt Roofing,https://www.specifiedby.com/search?q=Polymer Modified Asphalt Roofing&type=companies&a=0,https://www.google.co.uk/search?q=Polymer Modified Asphalt Roofing companies&type=companies&a=0
Fluid-applied rubber asphalt roofing,Hot-Applied Rubberized Asphalt,http://quartzproject.org/p/CP065,CP065,https://www.specifiedby.com/search?q=Hot-Applied Rubberized Asphalt,https://www.specifiedby.com/search?q=Hot-Applied Rubberized Asphalt&type=companies&a=0,https://www.google.co.uk/search?q=Hot-Applied Rubberized Asphalt companies&type=companies&a=0
Roof edge flashing,Roof edge flashing,http://quartzproject.org/p/CP069,CP069,https://www.specifiedby.com/search?q=Roof edge flashing,https://www.specifiedby.com/search?q=Roof edge flashing&type=companies&a=0,https://www.google.co.uk/search?q=Roof edge flashing companies&type=companies&a=0
Roof edge flashing,Edge fascia,http://quartzproject.org/p/CP069,CP069,https://www.specifiedby.com/search?q=Edge fascia,https://www.specifiedby.com/search?q=Edge fascia&type=companies&a=0,https://www.google.co.uk/search?q=Edge fascia companies&type=companies&a=0
Roof edge flashing,Edge metal flashing,http://quartzproject.org/p/CP069,CP069,https://www.specifiedby.com/search?q=Edge metal flashing,https://www.specifiedby.com/search?q=Edge metal flashing&type=companies&a=0,https://www.google.co.uk/search?q=Edge metal flashing companies&type=companies&a=0
Roof edge flashing,Roof edging,http://quartzproject.org/p/CP069,CP069,https://www.specifiedby.com/search?q=Roof edging,https://www.specifiedby.com/search?q=Roof edging&type=companies&a=0,https://www.google.co.uk/search?q=Roof edging companies&type=companies&a=0
EPDM membrane roofing,EPDM membrane roofing,http://quartzproject.org/p/CP071,CP071,https://www.specifiedby.com/search?q=EPDM membrane roofing,https://www.specifiedby.com/search?q=EPDM membrane roofing&type=companies&a=0,https://www.google.co.uk/search?q=EPDM membrane roofing companies&type=companies&a=0
Exterior Door w/ IGU,Exterior Door w/ IGU,http://quartzproject.org/p/CP072,CP072,https://www.specifiedby.com/search?q=Exterior Door w/ IGU,https://www.specifiedby.com/search?q=Exterior Door w/ IGU&type=companies&a=0,https://www.google.co.uk/search?q=Exterior Door w/ IGU companies&type=companies&a=0
Exterior Door w/ IGU,Entry door,http://quartzproject.org/p/CP072,CP072,https://www.specifiedby.com/search?q=Entry door,https://www.specifiedby.com/search?q=Entry door&type=companies&a=0,https://www.google.co.uk/search?q=Entry door companies&type=companies&a=0
Exterior Door w/ IGU,Door with lite,http://quartzproject.org/p/CP072,CP072,https://www.specifiedby.com/search?q=Door with lite,https://www.specifiedby.com/search?q=Door with lite&type=companies&a=0,https://www.google.co.uk/search?q=Door with lite companies&type=companies&a=0
Metal Ceiling Tile,Metal Ceiling Tile,http://quartzproject.org/p/CP074,CP074,https://www.specifiedby.com/search?q=Metal Ceiling Tile,https://www.specifiedby.com/search?q=Metal Ceiling Tile&type=companies&a=0,https://www.google.co.uk/search?q=Metal Ceiling Tile companies&type=companies&a=0
Metal Ceiling Tile,Metal Lay-In Tile,http://quartzproject.org/p/CP074,CP074,https://www.specifiedby.com/search?q=Metal Lay-In Tile,https://www.specifiedby.com/search?q=Metal Lay-In Tile&type=companies&a=0,https://www.google.co.uk/search?q=Metal Lay-In Tile companies&type=companies&a=0
Metal Ceiling Tile,Metal Ceiling Panel,http://quartzproject.org/p/CP074,CP074,https://www.specifiedby.com/search?q=Metal Ceiling Panel,https://www.specifiedby.com/search?q=Metal Ceiling Panel&type=companies&a=0,https://www.google.co.uk/search?q=Metal Ceiling Panel companies&type=companies&a=0
Steel Studs,Steel Studs,http://quartzproject.org/p/CP077,CP077,https://www.specifiedby.com/search?q=Steel Studs,https://www.specifiedby.com/search?q=Steel Studs&type=companies&a=0,https://www.google.co.uk/search?q=Steel Studs companies&type=companies&a=0
Steel Studs,Metal Studs,http://quartzproject.org/p/CP077,CP077,https://www.specifiedby.com/search?q=Metal Studs,https://www.specifiedby.com/search?q=Metal Studs&type=companies&a=0,https://www.google.co.uk/search?q=Metal Studs companies&type=companies&a=0
Steel Studs,Drywall Supports,http://quartzproject.org/p/CP077,CP077,https://www.specifiedby.com/search?q=Drywall Supports,https://www.specifiedby.com/search?q=Drywall Supports&type=companies&a=0,https://www.google.co.uk/search?q=Drywall Supports companies&type=companies&a=0
